Partner_ID,Partner_Name,Partner_Type,HQ_Country,Bank_Country,VAT_Number,Personal_Data_Access,DPA_Status,Storage_Region,Ethics_Charter,Last_Update,Account_Status
34,Topicshots,Packaging & Glass,NO,PE,AD15608236481,true,Signed,EU,true,3/11/2025,Active
35,Oyoloo,Packaging & Glass,CN,IL,EI00253018991,false,Missing,US,true,6/7/2023,Active
36,Omba,Packaging & Glass,CN,ID,ZZ82506861117,false,Missing,APAC,true,10/1/2024,Inactive
37,Wikibox,Retail Tech,IE,PL,XR94080085217,false,Signed,US,true,3/10/2024,Inactive
38,Wordify,Raw Material Supplier,RU,,UP66066776713,false,Pending,US,true,7/11/2024,Inactive
39,Chatterbridge,Influencer Agency,ID,IE,FB39013614105,false,Pending,US,false,5/2/2025,Active
40,Wordify,Raw Material Supplier,PL,ID,PH47753718513,false,,APAC,true,9/23/2023,Active
41,Photobug,Retail Tech,CZ,PL,NK35873511391,false,Signed,EU,false,12/20/2024,Inactive
42,Kwilith,Raw Material Supplier,HN,SV,FV10127647994,true,Missing,EU,true,3/25/2023,Inactive
43,Buzzster,Raw Material Supplier,ID,CN,QE40382746254,true,Missing,US,true,2/11/2024,Inactive
44,Linktype,CRO - Clinical Research,RU,CN,DI80907622806,false,,EU,false,1/7/2025,Active
45,Camimbo,Raw Material Supplier,CO,VE,PP08970616761,true,Pending,APAC,true,10/22/2024,Active
46,Wikibox,Influencer Agency,PH,EG,GV68265437774,false,Signed,APAC,false,12/16/2023,Active
47,Feedmix,Retail Tech,KR,CN,UF95696942933,false,Signed,EU,true,1/5/2024,Inactive
48,Npath,Influencer Agency,CN,ID,KL06095973349,true,Signed,APAC,false,7/29/2025,Inactive
49,Npath,Raw Material Supplier,FR,CA,ZO93721491211,true,Signed,APAC,true,12/7/2023,Inactive
50,Eazzy,CRO - Clinical Research,SA,HR,IX69884436924,true,Pending,APAC,true,5/4/2023,Inactive
51,Talane,Packaging & Glass,CN,CN,VO44567931877,true,Pending,APAC,false,7/6/2023,Active
52,Tekfly,Packaging & Glass,LA,CN,SH16640509984,false,Pending,EU,true,4/1/2024,Inactive
53,Trupe,Packaging & Glass,TJ,,LR49445186649,true,Missing,EU,true,5/21/2025,Active
54,Linklinks,Packaging & Glass,ID,BR,YZ11891761569,true,,EU,false,6/27/2023,Active
55,Demivee,Retail Tech,CN,MX,RS01565054399,false,Missing,EU,true,11/23/2023,Inactive
56,Wordware,Retail Tech,CZ,CZ,BK66331707620,true,Pending,APAC,false,9/20/2023,Active
57,Dabfeed,CRO - Clinical Research,SI,SE,TX20407498199,true,Missing,US,false,5/28/2023,Active
58,Teklist,Packaging & Glass,FR,RU,MO50878973124,false,Missing,APAC,false,5/15/2024,Active
59,Centizu,Raw Material Supplier,ID,ID,QV78267919770,false,Missing,APAC,true,9/29/2025,Active
60,Quamba,Retail Tech,US,VN,OV28343655474,false,Missing,US,false,2/2/2024,Active
61,Jaxworks,Influencer Agency,US,GR,CV51222407676,false,Signed,EU,true,3/16/2025,Inactive
62,Geba,CRO - Clinical Research,ID,AR,TJ42056615843,false,Pending,APAC,true,3/28/2025,Inactive
63,Devcast,Packaging & Glass,RU,PH,RG56033442408,true,Missing,US,false,7/9/2023,Inactive
64,Rhybox,Packaging & Glass,PT,SY,HZ71986544144,false,Signed,US,true,7/21/2025,Inactive
65,Podcat,CRO - Clinical Research,CN,CN,WI51048976053,false,Missing,US,true,2/7/2023,Active
66,Bubbletube,Raw Material Supplier,RU,CL,YC28438482241,true,Pending,APAC,false,11/14/2023,Active
67,Zazio,Retail Tech,CN,BA,TC27130787110,true,Missing,US,false,4/10/2023,Active
68,Yabox,Influencer Agency,PT,ID,YK81461985611,true,Missing,EU,false,9/3/2025,Inactive
69,Zoovu,Packaging & Glass,CR,VN,UF30553621701,false,Signed,EU,true,4/3/2024,Active
70,Digitube,Retail Tech,US,UA,FL08569425876,false,,APAC,false,3/18/2023,Active
71,Fanoodle,Influencer Agency,ID,RU,GQ49062433269,false,Pending,EU,true,2/1/2024,Active
72,Cogidoo,Packaging & Glass,CN,DK,RM59969256734,false,Missing,APAC,false,2/19/2025,Inactive
73,Ntag,Packaging & Glass,CN,RU,ME80534764113,true,Pending,EU,false,11/13/2024,Active
74,Yoveo,Packaging & Glass,PY,CN,FZ85841616951,false,Pending,EU,false,9/17/2025,Inactive
75,Zoovu,Raw Material Supplier,PH,,YT18606291265,true,Missing,APAC,false,10/31/2023,Inactive
76,Flipstorm,Retail Tech,MX,CN,HD25020055107,true,Pending,EU,true,7/19/2024,Inactive
77,Quatz,Retail Tech,IT,CW,MJ29035294357,true,,APAC,true,9/20/2023,Inactive
78,Centimia,Retail Tech,ID,NI,DC70333335827,false,Missing,APAC,false,3/19/2024,Active
79,Dynazzy,Packaging & Glass,AL,PT,VH50656345804,false,,US,false,5/10/2023,Active
80,Divanoodle,CRO - Clinical Research,YE,,JP92526015324,false,Pending,APAC,true,11/21/2024,Active
81,Photobean,Retail Tech,CN,,QZ95182838293,false,Missing,EU,true,10/30/2024,Inactive
82,Gabtune,Retail Tech,SA,CN,EF79835319181,true,Signed,APAC,false,4/23/2023,Inactive
83,Kaymbo,Packaging & Glass,ID,ID,VZ90390754424,true,Missing,APAC,true,8/24/2025,Inactive
84,Rhynyx,Raw Material Supplier,PL,SE,TC38848696940,true,Signed,US,true,1/19/2024,Inactive
85,Realpoint,Raw Material Supplier,CN,NO,UU77668614747,false,,US,false,4/16/2024,Active
86,Jatri,Retail Tech,PT,,BF41547579725,true,Missing,US,true,11/20/2024,Active
87,Fivechat,CRO - Clinical Research,FR,,LL14828340087,false,,APAC,false,3/27/2024,Active
88,Divanoodle,Packaging & Glass,JP,CN,SY00359209884,false,Missing,US,false,5/18/2025,Active
89,Mita,Raw Material Supplier,PE,PT,GS16037402813,true,Missing,EU,false,10/15/2025,Inactive
90,Centidel,Influencer Agency,SE,CN,CK45506942876,false,Pending,APAC,false,6/16/2025,Active
91,Realcube,Retail Tech,EE,PY,SE55912544528,true,Pending,EU,false,5/5/2023,Inactive
92,Skinte,Influencer Agency,CU,,BE36265155775,false,Missing,EU,true,6/15/2025,Active
93,Photobug,Raw Material Supplier,AL,CN,RM07125510872,false,,EU,false,5/12/2023,Active
94,Agimba,Influencer Agency,LV,PL,IJ09167330567,false,,EU,false,3/19/2023,Inactive
95,Gigabox,Packaging & Glass,CZ,CO,SF43547243178,false,Pending,EU,false,8/24/2025,Active
96,Voolia,Retail Tech,ID,BR,VQ67390590520,true,Pending,US,false,7/16/2025,Inactive
97,Meemm,CRO - Clinical Research,RU,US,BP51535594895,false,Missing,APAC,true,8/16/2023,Inactive
98,Tagfeed,CRO - Clinical Research,SY,FR,DI75828769861,true,Pending,EU,false,12/25/2023,Inactive
99,Flashdog,CRO - Clinical Research,CA,PL,FT92219629087,false,Missing,EU,false,7/8/2025,Active
100,Avaveo,CRO - Clinical Research,DK,CN,CI00529293871,true,Missing,APAC,true,2/11/2023,Active
101,Skinte,Influencer Agency,TH,PT,MN09744133009,true,Pending,EU,true,5/11/2025,Active
102,Yodoo,Packaging & Glass,PT,ID,QO29102978146,false,Missing,APAC,false,7/8/2023,Active
103,Youbridge,CRO - Clinical Research,AF,CN,FW60086749495,true,Pending,EU,false,7/27/2023,Inactive
104,Oyondu,CRO - Clinical Research,CN,CN,OJ07092712259,true,Missing,US,true,8/11/2025,Active
105,Twimm,Packaging & Glass,SE,CN,GC83570529058,false,,US,true,9/7/2024,Inactive
106,Zoomcast,CRO - Clinical Research,CZ,CN,ZO84121435762,true,Signed,EU,false,2/23/2025,Active
107,Gevee,Packaging & Glass,BR,,FA45132170030,false,Pending,APAC,false,4/25/2025,Active
108,Twiyo,Retail Tech,KZ,JP,BB23640739431,false,Missing,EU,true,5/16/2025,Inactive
109,Mynte,Influencer Agency,PL,PH,AZ81715439687,true,Missing,APAC,true,12/11/2023,Active
110,Browsecat,Packaging & Glass,RU,CN,HD60701954102,false,Missing,EU,true,7/21/2025,Active
111,Wordify,Retail Tech,CZ,RU,UC15657283608,false,Pending,US,false,1/9/2025,Active
112,Yata,Raw Material Supplier,CN,PL,PE98850358873,true,Signed,APAC,true,4/5/2023,Active
113,Photofeed,Packaging & Glass,PT,CN,BZ06514691411,true,Missing,EU,true,12/1/2024,Active
114,Talane,Influencer Agency,PL,PT,FT83979230974,true,Pending,US,true,9/19/2023,Inactive
115,Meevee,Raw Material Supplier,MA,DE,LN80551875878,true,Signed,APAC,true,3/5/2023,Inactive
116,Lazzy,Raw Material Supplier,JP,SE,BY94182398057,false,Pending,APAC,true,4/21/2024,Active
117,Gabspot,Packaging & Glass,ID,PH,TV79361056555,true,Missing,US,true,12/18/2024,Inactive
118,Fivebridge,Raw Material Supplier,EC,ID,XU53170019853,true,Pending,US,false,9/7/2023,Inactive
119,Demimbu,Retail Tech,CN,ID,DZ58270089103,false,Pending,US,true,1/18/2025,Inactive
120,Yadel,Retail Tech,CN,UA,NJ87284545319,false,Signed,US,true,5/1/2023,Active
121,Devpulse,Retail Tech,ZM,,ET96371213711,true,Pending,APAC,true,4/1/2024,Inactive
122,Tanoodle,CRO - Clinical Research,CN,,FD68168329576,true,,EU,false,12/17/2024,Inactive
123,Layo,Influencer Agency,PH,RU,FH52055109535,true,Pending,US,true,10/23/2024,Active
124,Snaptags,Raw Material Supplier,MX,TH,MG70700175893,false,Pending,APAC,true,3/1/2024,Inactive
125,Youfeed,Influencer Agency,CN,PE,DS69290424180,true,,EU,false,1/27/2025,Inactive
126,Tambee,Raw Material Supplier,US,RU,IT59809217114,true,Missing,EU,true,11/1/2023,Inactive
127,Skyba,CRO - Clinical Research,CN,JP,NV75520995936,true,Pending,EU,true,6/24/2025,Inactive
128,Flashset,Influencer Agency,FR,PT,JZ77438629583,true,Missing,APAC,true,8/25/2023,Active
129,Plambee,Packaging & Glass,CZ,GT,WD87612707107,false,Signed,APAC,false,4/27/2025,Inactive
130,Flipbug,Raw Material Supplier,ID,JP,RE69781484414,false,Signed,EU,false,10/28/2023,Inactive
131,Fiveclub,CRO - Clinical Research,CN,CN,AA74079265108,false,Pending,APAC,false,1/19/2025,Inactive
132,Wikizz,CRO - Clinical Research,RU,NG,PP65795243933,true,Pending,US,true,2/14/2025,Inactive
133,Rhynoodle,Retail Tech,ID,CN,LM82206999568,true,,EU,false,8/27/2025,Inactive
134,Devify,Influencer Agency,GR,JP,MP70930245664,false,Missing,US,false,9/12/2023,Active
135,Youbridge,Packaging & Glass,SE,TH,PD94538417342,false,Missing,EU,false,7/16/2025,Active
136,Viva,Raw Material Supplier,CO,CA,RT30762985124,false,Signed,APAC,false,10/8/2024,Active
137,Feedbug,Packaging & Glass,RU,TH,XB28434550491,false,,EU,false,1/8/2025,Inactive
138,Muxo,CRO - Clinical Research,BR,SE,BU45794254308,true,Missing,EU,true,8/25/2024,Active
139,Camimbo,Packaging & Glass,CN,CN,PS92328226135,false,Signed,US,false,11/28/2023,Active
140,Skipfire,Raw Material Supplier,PH,,GA77089511505,true,Signed,EU,false,4/24/2024,Inactive
141,Zooxo,Retail Tech,ID,NC,XD32517381331,true,Pending,US,false,6/19/2023,Active
142,Skyvu,Raw Material Supplier,CN,CN,AO12535490018,true,Missing,APAC,false,11/27/2023,Inactive
143,Podcat,Raw Material Supplier,PT,RU,WO02436930779,false,Signed,EU,true,7/9/2024,Active
144,Gigabox,Packaging & Glass,FR,PT,RV53566647306,true,Missing,EU,true,2/23/2024,Inactive
145,Skyble,Raw Material Supplier,RU,ID,NH41093994916,true,Missing,APAC,true,2/15/2025,Active
146,Tambee,Influencer Agency,CN,FR,JF19740953322,false,,US,false,4/11/2024,Active
147,Shufflebeat,Packaging & Glass,YE,BR,TX96706860797,true,Missing,APAC,true,4/28/2024,Active
148,Twitternation,CRO - Clinical Research,VE,,IE80666550476,false,,US,true,3/15/2025,Active
149,Oyonder,Packaging & Glass,SO,,XL16462626837,true,Pending,US,false,4/12/2024,Active
150,Pixonyx,CRO - Clinical Research,PH,BA,WJ41299129177,true,Signed,US,false,5/10/2025,Active
151,Skiba,Packaging & Glass,UZ,US,SJ27764060223,false,Missing,APAC,false,6/21/2023,Inactive
152,Flipbug,CRO - Clinical Research,ID,PH,KU33743182957,true,Pending,APAC,true,9/30/2025,Inactive
153,Abatz,Retail Tech,ID,,TH98478164987,false,Pending,EU,false,4/23/2023,Inactive
154,Kwinu,Raw Material Supplier,CZ,US,QE17984778451,false,Missing,US,true,11/1/2024,Active
155,Gigaclub,Influencer Agency,BY,IL,KK82494580995,false,Missing,APAC,true,9/20/2023,Inactive
156,Voolia,CRO - Clinical Research,AL,CN,BC19965727291,true,Pending,EU,true,9/15/2023,Inactive
157,Topicstorm,Packaging & Glass,HN,UG,IS47069928468,false,Signed,US,true,5/23/2023,Inactive
158,Jabbertype,Influencer Agency,CZ,CN,PB84158002317,false,Signed,APAC,true,9/8/2023,Active
159,Voonyx,Packaging & Glass,CN,AO,HJ17223702443,false,,EU,false,3/4/2024,Inactive
160,Flashset,Packaging & Glass,FR,UA,AM66542740888,false,Pending,US,true,10/8/2024,Inactive
161,Realcube,Raw Material Supplier,ID,UA,LP78702349382,true,Signed,EU,false,10/3/2024,Active
162,Twitterbeat,CRO - Clinical Research,EE,ID,NB04094744061,false,Pending,APAC,true,3/6/2023,Inactive
163,Thoughtstorm,Influencer Agency,CN,BR,CC77461245214,false,Pending,US,true,5/27/2025,Active
164,Mydo,Packaging & Glass,FR,BR,GL27056886959,true,Missing,APAC,true,2/13/2025,Active
165,Thoughtworks,Influencer Agency,VE,CN,XC38887330130,false,Signed,APAC,true,5/3/2023,Inactive
166,Feedmix,CRO - Clinical Research,ID,ID,KO40372509096,false,Pending,US,false,11/12/2023,Active
167,Twitterbeat,Influencer Agency,DK,KZ,UA66444590247,true,Missing,US,false,7/15/2024,Inactive
168,Photolist,Packaging & Glass,ID,FR,YD67836211237,false,Pending,US,true,2/2/2023,Inactive
169,Youspan,CRO - Clinical Research,CN,CN,SX81531170834,false,Missing,US,true,5/23/2023,Inactive
170,Wikizz,CRO - Clinical Research,ID,CN,MW96081656535,false,Missing,US,false,3/4/2025,Active
171,Voonder,CRO - Clinical Research,IE,,HU11462769742,true,Missing,EU,false,9/18/2023,Active
172,Skynoodle,CRO - Clinical Research,PH,UA,IH92798501812,true,,APAC,true,8/26/2024,Inactive
173,Browsedrive,Packaging & Glass,SI,NA,CQ80746586231,true,Signed,APAC,true,2/8/2023,Active
174,Quinu,Packaging & Glass,RU,CN,VN90549477300,false,,APAC,false,11/24/2024,Inactive
175,Voomm,Retail Tech,UA,,TZ48407187209,false,Signed,US,true,2/19/2025,Active
176,Oozz,CRO - Clinical Research,CA,SE,TU65817557918,false,Pending,EU,true,3/5/2025,Inactive
177,Fivespan,Raw Material Supplier,RU,MN,EC54687997226,false,Missing,EU,false,2/14/2024,Active
178,LiveZ,Raw Material Supplier,US,FI,WN15127866813,false,Missing,US,false,10/27/2023,Active
179,DabZ,Influencer Agency,CN,RU,JG56650246689,false,Pending,EU,true,4/20/2025,Active
180,Skipfire,Raw Material Supplier,CO,SE,CR18161419787,false,Signed,US,true,6/19/2025,Inactive
181,Twinder,Raw Material Supplier,CN,ID,RB99410494389,true,Missing,APAC,true,3/24/2025,Inactive
182,Eidel,Influencer Agency,HR,CN,FD71653476521,true,Missing,EU,true,5/10/2023,Active
183,Photojam,CRO - Clinical Research,BY,SE,CT44570274581,true,Missing,APAC,false,10/19/2025,Active
184,Cogilith,Raw Material Supplier,PH,CN,ZU64985846866,true,Signed,APAC,true,8/8/2025,Active
185,Wordware,Packaging & Glass,PH,ID,NH01633401610,true,Missing,APAC,false,3/14/2023,Active
186,Skilith,Raw Material Supplier,DE,CN,JT20606949424,true,Pending,APAC,true,7/28/2023,Active
187,Kayveo,CRO - Clinical Research,ID,PH,FH87877207531,false,,US,false,3/29/2025,Inactive
188,Devbug,Raw Material Supplier,CA,PA,VK56168051869,false,Pending,US,false,2/5/2023,Inactive
189,Fanoodle,Packaging & Glass,PE,RU,VG97460621670,true,Missing,APAC,false,5/7/2023,Inactive
190,Skilith,CRO - Clinical Research,IT,FR,WY98512684082,false,Missing,APAC,true,10/26/2023,Inactive
191,Fivebridge,Influencer Agency,GR,TH,ZC02044136118,true,Pending,APAC,false,3/21/2023,Inactive
192,Agivu,Packaging & Glass,PE,MT,EW33559912799,false,Missing,US,false,1/8/2024,Active
193,Gabtype,Packaging & Glass,ID,CO,EM45460125088,true,Signed,US,false,2/20/2025,Inactive
194,Thoughtworks,Packaging & Glass,BR,BR,DQ34761282297,true,Missing,US,true,7/12/2024,Inactive
195,Oyoyo,Raw Material Supplier,CN,RU,FM12808176198,false,Missing,EU,false,9/15/2024,Active
196,Mymm,Raw Material Supplier,NA,SI,AU26097735684,true,,US,false,12/23/2024,Active
197,Kwilith,Packaging & Glass,US,RU,UF82819024416,true,,EU,true,8/18/2023,Inactive
198,Skidoo,Packaging & Glass,US,CZ,FQ53132021744,true,Pending,APAC,true,11/27/2024,Inactive
199,Thoughtsphere,Raw Material Supplier,TH,AR,ZD86504791903,false,Missing,APAC,false,6/11/2025,Active
200,Livetube,Influencer Agency,VE,CN,GH41009847548,false,Pending,APAC,false,10/30/2025,Active
201,Oyondu,CRO - Clinical Research,RU,ID,XT64745090799,false,Missing,APAC,true,5/4/2025,Active
202,Voomm,Raw Material Supplier,CM,CN,OQ41109131831,false,Signed,APAC,false,6/23/2025,Active
203,Skyble,Influencer Agency,PH,ID,OR09460919485,false,Signed,EU,true,11/2/2023,Inactive
204,Youtags,CRO - Clinical Research,VE,,HR30837968190,true,Pending,EU,true,1/17/2024,Active
205,Dynazzy,Influencer Agency,CN,CZ,SF76161234871,false,Pending,APAC,false,2/4/2025,Inactive
206,Lajo,CRO - Clinical Research,CN,,FU82071788216,false,Signed,EU,false,1/20/2024,Active
207,Kazio,Influencer Agency,VN,PL,SO35674240677,true,,US,true,12/11/2023,Active
208,Nlounge,Retail Tech,CN,CZ,ND85661367341,true,Missing,US,false,9/23/2024,Inactive
209,Skajo,Retail Tech,RU,CN,UQ16777848526,false,Missing,APAC,true,3/9/2023,Active
210,Skippad,Packaging & Glass,SN,LY,BG06463954486,false,Missing,EU,false,7/7/2024,Active
211,Mynte,Retail Tech,ID,BQ,DA47071765619,true,Signed,EU,false,4/2/2024,Inactive
212,Nlounge,CRO - Clinical Research,PT,VN,AU07593425626,false,Signed,EU,true,1/27/2024,Inactive
213,Twitterlist,Raw Material Supplier,AM,UA,LR47882829271,false,Missing,EU,true,10/10/2024,Inactive
214,Skynoodle,Packaging & Glass,FR,RU,LQ89238908093,true,Signed,EU,false,4/19/2025,Inactive
215,Devshare,CRO - Clinical Research,BR,,FW98059150024,true,Pending,US,false,9/16/2023,Active
216,Tanoodle,Packaging & Glass,ID,PL,QK25099590301,false,Missing,EU,false,1/30/2025,Inactive
217,Blogpad,Packaging & Glass,ID,ID,JB81632294472,true,Missing,APAC,false,7/23/2023,Inactive
218,Reallinks,Packaging & Glass,CN,RU,VG60091261587,false,Missing,EU,true,12/28/2024,Inactive
219,Ainyx,Raw Material Supplier,ID,PL,VF32333925160,true,Signed,US,true,5/25/2025,Inactive
220,Ooba,Packaging & Glass,CN,CD,UQ82549759128,true,Missing,US,false,3/3/2023,Inactive
221,Youspan,Retail Tech,BR,CN,SG17887651152,false,Signed,EU,false,12/10/2024,Inactive
222,Meeveo,Influencer Agency,ID,CG,AO35150756994,false,Signed,US,false,5/4/2024,Inactive
223,Myworks,CRO - Clinical Research,PH,RS,GM43929005664,true,Missing,APAC,false,3/18/2025,Inactive
224,Mydeo,CRO - Clinical Research,IE,SE,ND08674550906,true,Signed,EU,false,9/6/2025,Active
225,Ainyx,Retail Tech,ET,ID,RZ44281033993,true,Signed,US,true,10/9/2023,Active
226,Jatri,Retail Tech,UZ,CZ,KM57152955280,true,,APAC,true,5/23/2024,Inactive
227,Twitterlist,Raw Material Supplier,PH,CA,RZ42675916727,false,Pending,US,true,8/2/2025,Active
228,Rhyloo,CRO - Clinical Research,CO,SE,EF48291325826,true,Missing,EU,true,2/11/2025,Inactive
229,Camimbo,CRO - Clinical Research,PE,CN,DV02640338631,true,Pending,APAC,true,3/10/2023,Inactive
230,Devpoint,Raw Material Supplier,MX,TH,FW90098913403,false,Missing,EU,true,11/16/2024,Active
231,DabZ,Raw Material Supplier,CN,RU,BY74864910553,false,Signed,US,false,2/11/2024,Active
232,Oba,Influencer Agency,BR,,OP46711902207,false,Pending,US,true,7/22/2025,Active
233,Cogilith,Retail Tech,CN,CN,JO77575497285,false,Pending,APAC,true,6/11/2024,Inactive
234,Yotz,Influencer Agency,RU,PH,FS75517126692,false,Pending,US,true,2/2/2023,Active
235,Tazzy,Raw Material Supplier,MA,ID,TT26276944027,true,Missing,US,true,7/3/2024,Active
236,Oodoo,CRO - Clinical Research,CN,,IS51996356415,true,Pending,APAC,false,9/7/2024,Active
237,Babbleopia,Retail Tech,ID,PT,CJ49200180731,false,Signed,EU,true,1/28/2025,Active
238,Eadel,Retail Tech,TD,,XR07280529473,false,Pending,APAC,false,7/10/2023,Inactive
239,Tavu,CRO - Clinical Research,CN,SE,GA60208760288,false,Signed,EU,false,5/2/2023,Inactive
240,Quimba,Packaging & Glass,PH,PH,ZP72255471632,false,Pending,APAC,false,9/11/2024,Active
241,Quinu,CRO - Clinical Research,CN,PE,GS98857912760,true,Pending,APAC,false,6/21/2025,Active
242,Oyondu,Packaging & Glass,CN,CN,WJ56146880022,false,Missing,US,true,5/11/2025,Inactive
243,Npath,Raw Material Supplier,CN,PH,XP95886797841,false,Missing,APAC,true,11/23/2023,Active
244,Thoughtbridge,Raw Material Supplier,AR,CN,HJ34925798195,false,Missing,US,false,2/15/2024,Inactive
245,Eadel,Packaging & Glass,SE,,LY29123302295,true,Pending,APAC,true,9/29/2025,Active
246,Roomm,Packaging & Glass,JP,XK,GU93805201681,true,Signed,APAC,false,5/22/2025,Inactive
247,Twitterbridge,Raw Material Supplier,TN,,WE35497716093,true,Missing,US,false,7/28/2025,Active
248,Cogibox,CRO - Clinical Research,PH,CN,PS68706668062,false,Signed,EU,true,12/14/2024,Active
249,Skipfire,Raw Material Supplier,GR,CN,IB75656765020,false,Missing,APAC,true,10/8/2024,Inactive
250,Camimbo,Packaging & Glass,CZ,,IR38292929229,false,Pending,US,false,6/20/2024,Inactive
251,Quimm,CRO - Clinical Research,CN,RU,GZ58430755620,true,Pending,EU,true,7/23/2025,Inactive
252,Eimbee,CRO - Clinical Research,CA,ID,RI38582870154,true,Signed,US,true,3/31/2024,Inactive
253,Blognation,Packaging & Glass,RS,IR,PE85728403393,false,Signed,EU,false,1/29/2025,Inactive
254,Edgeclub,Influencer Agency,NG,ID,YR60193689064,true,Pending,APAC,true,5/24/2025,Active
255,Eayo,Influencer Agency,AZ,,CN22869857696,true,Missing,APAC,true,3/19/2024,Inactive
256,Cogilith,Retail Tech,PL,BY,TK34353567457,true,Signed,EU,false,1/18/2024,Active
257,Edgeclub,CRO - Clinical Research,NL,JP,XC21370134560,true,,US,true,9/1/2024,Inactive
258,Viva,Raw Material Supplier,IR,ID,QY27853798021,false,Pending,EU,true,8/13/2024,Active
259,Riffpedia,CRO - Clinical Research,CN,,HD32210260028,true,Pending,US,false,7/10/2025,Inactive
260,Realpoint,Influencer Agency,CN,PL,CW43994322992,true,Pending,APAC,false,10/2/2025,Active
261,Photobug,Retail Tech,RU,MU,GD96369758186,false,Missing,APAC,false,8/23/2025,Active
262,Roombo,Raw Material Supplier,PL,RU,BN04017653369,true,Signed,EU,false,12/28/2024,Active
263,Trunyx,Retail Tech,RU,ID,NU83243922623,true,Missing,US,false,2/13/2023,Active
264,Mita,Influencer Agency,PS,ID,OR92893858486,false,,EU,true,4/6/2023,Active
265,Zoomlounge,CRO - Clinical Research,ID,CN,OU48210779485,true,Signed,US,false,12/27/2023,Inactive
266,Wordware,Raw Material Supplier,CN,FR,KT57870051044,false,Missing,US,false,2/9/2023,Inactive
267,Eimbee,Influencer Agency,RU,RU,PO23532800482,false,Missing,US,false,4/9/2023,Inactive
268,Dabvine,Influencer Agency,PE,,JH58034550404,false,Signed,APAC,false,3/3/2024,Active
